Philadelphia_City_Ward,Mode,Season,Day_of_Week,On_,Off_,ObjectId
35,Bus,Fall 2015,Weekday,8443,8064,1
36,Bus,Fall 2015,Weekday,7885,8908,2
37,Bus,Fall 2015,Weekday,6426,5626,3
38,Bus,Fall 2015,Weekday,8752,8521,4
39,Bus,Fall 2015,Weekday,15219,14916,5
40,Bus,Fall 2015,Weekday,8395,8102,6
41,Bus,Fall 2015,Weekday,5233,5567,7
42,Bus,Fall 2015,Weekday,5653,6323,8
43,Bus,Fall 2015,Weekday,10404,9485,9
44,Bus,Fall 2015,Weekday,5362,5131,10
45,Bus,Fall 2015,Weekday,9537,6988,11
46,Bus,Fall 2015,Weekday,3209,2959,12
47,Bus,Fall 2015,Weekday,3943,4692,13
48,Bus,Fall 2015,Weekday,5942,5590,14
49,Bus,Fall 2015,Weekday,26757,25072,15
50,Bus,Fall 2015,Weekday,5666,5787,16
51,Bus,Fall 2015,Weekday,4116,4033,17
52,Bus,Fall 2015,Weekday,11311,11696,18
53,Bus,Fall 2015,Weekday,2987,2919,19
54,Bus,Fall 2015,Weekday,3592,3191,20
55,Bus,Fall 2015,Weekday,928,1354,21
56,Bus,Fall 2015,Weekday,8316,6684,22
57,Bus,Fall 2015,Weekday,2023,3158,23
58,Bus,Fall 2015,Weekday,5548,4578,24
59,Bus,Fall 2015,Weekday,13173,13993,25
60,Bus,Fall 2015,Weekday,12747,11904,26
61,Bus,Fall 2015,Weekday,10276,10547,27
62,Bus,Fall 2015,Weekday,25484,26703,28
63,Bus,Fall 2015,Weekday,2095,2072,29
64,Bus,Fall 2015,Weekday,3425,3270,30
65,Bus,Fall 2015,Weekday,1889,1875,31
66,Bus,Fall 2015,Weekday,5077,7075,32
1,Bus,Fall 2016,Weekday,5594,5402,33
2,Bus,Fall 2016,Weekday,4265,3750,34
3,Bus,Fall 2016,Weekday,4850,4803,35
4,Bus,Fall 2016,Weekday,4193,4278,36
5,Bus,Fall 2016,Weekday,34424,32720,37
6,Bus,Fall 2016,Weekday,3545,4222,38
7,Bus,Fall 2016,Weekday,6110,6122,39
8,Bus,Fall 2016,Weekday,28950,28585,40
9,Bus,Fall 2016,Weekday,2944,2926,41
10,Bus,Fall 2016,Weekday,3697,3952,42
11,Bus,Fall 2016,Weekday,4699,5384,43
12,Bus,Fall 2016,Weekday,10789,9512,44
13,Bus,Fall 2016,Weekday,15022,13384,45
14,Bus,Fall 2016,Weekday,3130,2773,46
15,Bus,Fall 2016,Weekday,2062,2115,47
16,Bus,Fall 2016,Weekday,3916,4431,48
17,Bus,Fall 2016,Weekday,6242,7774,49
18,Bus,Fall 2016,Weekday,2109,1926,50
51,Bus,Fall 2014,Weekday,4212,4038,51
52,Bus,Fall 2014,Weekday,11252,11582,52
53,Bus,Fall 2014,Weekday,3226,3003,53
54,Bus,Fall 2014,Weekday,3664,3036,54
55,Bus,Fall 2014,Weekday,947,1326,55
56,Bus,Fall 2014,Weekday,8456,6719,56
57,Bus,Fall 2014,Weekday,2125,3044,57
58,Bus,Fall 2014,Weekday,5922,4818,58
59,Bus,Fall 2014,Weekday,12815,13623,59
60,Bus,Fall 2014,Weekday,12985,12134,60
61,Bus,Fall 2014,Weekday,10244,10548,61
62,Bus,Fall 2014,Weekday,25856,28080,62
63,Bus,Fall 2014,Weekday,2176,2118,63
64,Bus,Fall 2014,Weekday,3458,3306,64
65,Bus,Fall 2014,Weekday,2060,1918,65
66,Bus,Fall 2014,Weekday,5216,7379,66
1,Bus,Fall 2015,Weekday,5573,5615,67
2,Bus,Fall 2015,Weekday,5298,4524,68
3,Bus,Fall 2015,Weekday,5486,5393,69
4,Bus,Fall 2015,Weekday,4542,4672,70
5,Bus,Fall 2015,Weekday,38683,37216,71
6,Bus,Fall 2015,Weekday,3852,4422,72
7,Bus,Fall 2015,Weekday,6004,6046,73
8,Bus,Fall 2015,Weekday,32564,31392,74
9,Bus,Fall 2015,Weekday,3471,3652,75
10,Bus,Fall 2015,Weekday,4468,5039,76
11,Bus,Fall 2015,Weekday,5334,5799,77
12,Bus,Fall 2015,Weekday,11985,10323,78
13,Bus,Fall 2015,Weekday,17126,14951,79
14,Bus,Fall 2015,Weekday,3462,2995,80
15,Bus,Fall 2015,Weekday,2246,2540,81
16,Bus,Fall 2015,Weekday,3671,4425,82
17,Bus,Fall 2015,Weekday,6746,8693,83
18,Bus,Fall 2015,Weekday,2116,2280,84
19,Bus,Fall 2015,Weekday,4399,4631,85
20,Bus,Fall 2015,Weekday,4029,3374,86
21,Bus,Fall 2015,Weekday,9748,9654,87
22,Bus,Fall 2015,Weekday,5089,5182,88
23,Bus,Fall 2015,Weekday,6905,7371,89
24,Bus,Fall 2015,Weekday,3438,3080,90
25,Bus,Fall 2015,Weekday,3345,4771,91
26,Bus,Fall 2015,Weekday,9460,10608,92
27,Bus,Fall 2015,Weekday,8208,8806,93
28,Bus,Fall 2015,Weekday,4522,4518,94
29,Bus,Fall 2015,Weekday,2844,2635,95
30,Bus,Fall 2015,Weekday,3650,4178,96
31,Bus,Fall 2015,Weekday,3074,2809,97
32,Bus,Fall 2015,Weekday,5179,5664,98
33,Bus,Fall 2015,Weekday,4908,6020,99
34,Bus,Fall 2015,Weekday,8646,9458,100
37,Bus,Fall 2017,Saturday,2484,2530,101
38,Bus,Fall 2017,Saturday,3478,3285,102
39,Bus,Fall 2017,Saturday,7324,6658,103
40,Bus,Fall 2017,Saturday,4263,4340,104
41,Bus,Fall 2017,Saturday,2044,1980,105
42,Bus,Fall 2017,Saturday,1892,2681,106
43,Bus,Fall 2017,Saturday,4176,3902,107
44,Bus,Fall 2017,Saturday,2651,2549,108
45,Bus,Fall 2017,Saturday,4428,3229,109
46,Bus,Fall 2017,Saturday,1486,1421,110
47,Bus,Fall 2017,Saturday,1819,2482,111
48,Bus,Fall 2017,Saturday,1875,2166,112
49,Bus,Fall 2017,Saturday,10786,9549,113
50,Bus,Fall 2017,Saturday,2174,2231,114
51,Bus,Fall 2017,Saturday,1792,1720,115
52,Bus,Fall 2017,Saturday,4438,4710,116
53,Bus,Fall 2017,Saturday,1040,766,117
54,Bus,Fall 2017,Saturday,1382,1395,118
55,Bus,Fall 2017,Saturday,322,445,119
56,Bus,Fall 2017,Saturday,3687,2909,120
57,Bus,Fall 2017,Saturday,780,1317,121
58,Bus,Fall 2017,Saturday,1919,1386,122
59,Bus,Fall 2017,Saturday,4743,5326,123
60,Bus,Fall 2017,Saturday,5349,5294,124
61,Bus,Fall 2017,Saturday,4710,4555,125
62,Bus,Fall 2017,Saturday,10983,10508,126
63,Bus,Fall 2017,Saturday,782,744,127
64,Bus,Fall 2017,Saturday,1854,1640,128
65,Bus,Fall 2017,Saturday,641,654,129
66,Bus,Fall 2017,Saturday,2482,3656,130
1,Bus,Fall 2017,Sunday,2424,2383,131
2,Bus,Fall 2017,Sunday,1451,1301,132
3,Bus,Fall 2017,Sunday,1364,1480,133
4,Bus,Fall 2017,Sunday,1136,1143,134
5,Bus,Fall 2017,Sunday,10610,9906,135
6,Bus,Fall 2017,Sunday,1024,1204,136
7,Bus,Fall 2017,Sunday,1466,1755,137
8,Bus,Fall 2017,Sunday,7640,7659,138
9,Bus,Fall 2017,Sunday,1108,1141,139
10,Bus,Fall 2017,Sunday,1236,1334,140
11,Bus,Fall 2017,Sunday,1798,1926,141
12,Bus,Fall 2017,Sunday,3964,3572,142
13,Bus,Fall 2017,Sunday,4866,4372,143
14,Bus,Fall 2017,Sunday,1153,972,144
15,Bus,Fall 2017,Sunday,602,633,145
16,Bus,Fall 2017,Sunday,1192,1459,146
17,Bus,Fall 2017,Sunday,2124,2722,147
18,Bus,Fall 2017,Sunday,614,682,148
19,Bus,Fall 2017,Sunday,1152,1258,149
20,Bus,Fall 2017,Sunday,1393,1161,150
1,Bus,Fall 2014,Weekday,5807,5781,151
2,Bus,Fall 2014,Weekday,5368,4595,152
3,Bus,Fall 2014,Weekday,5314,5355,153
4,Bus,Fall 2014,Weekday,4618,4752,154
5,Bus,Fall 2014,Weekday,38846,37901,155
6,Bus,Fall 2014,Weekday,3844,4588,156
7,Bus,Fall 2014,Weekday,6224,6124,157
8,Bus,Fall 2014,Weekday,32443,31495,158
9,Bus,Fall 2014,Weekday,3380,3490,159
10,Bus,Fall 2014,Weekday,4436,4768,160
11,Bus,Fall 2014,Weekday,5793,6298,161
12,Bus,Fall 2014,Weekday,12135,10273,162
13,Bus,Fall 2014,Weekday,15935,14970,163
14,Bus,Fall 2014,Weekday,3509,3005,164
15,Bus,Fall 2014,Weekday,2334,2496,165
16,Bus,Fall 2014,Weekday,4340,4942,166
17,Bus,Fall 2014,Weekday,7078,8629,167
18,Bus,Fall 2014,Weekday,2052,2353,168
19,Bus,Fall 2014,Weekday,4434,4748,169
20,Bus,Fall 2014,Weekday,4081,3371,170
21,Bus,Fall 2014,Weekday,9941,9792,171
22,Bus,Fall 2014,Weekday,4959,4800,172
23,Bus,Fall 2014,Weekday,6994,7383,173
24,Bus,Fall 2014,Weekday,3279,3163,174
25,Bus,Fall 2014,Weekday,3904,4753,175
26,Bus,Fall 2014,Weekday,8196,9279,176
27,Bus,Fall 2014,Weekday,8567,9143,177
28,Bus,Fall 2014,Weekday,5080,5002,178
29,Bus,Fall 2014,Weekday,2987,2526,179
30,Bus,Fall 2014,Weekday,3728,4167,180
31,Bus,Fall 2014,Weekday,2626,2853,181
32,Bus,Fall 2014,Weekday,5319,5395,182
33,Bus,Fall 2014,Weekday,4851,5899,183
34,Bus,Fall 2014,Weekday,8832,8954,184
35,Bus,Fall 2014,Weekday,8611,8033,185
36,Bus,Fall 2014,Weekday,8088,9224,186
37,Bus,Fall 2014,Weekday,6587,5842,187
38,Bus,Fall 2014,Weekday,8359,8119,188
39,Bus,Fall 2014,Weekday,16309,15772,189
40,Bus,Fall 2014,Weekday,8498,7997,190
41,Bus,Fall 2014,Weekday,5173,5661,191
42,Bus,Fall 2014,Weekday,5834,6420,192
43,Bus,Fall 2014,Weekday,10513,9499,193
44,Bus,Fall 2014,Weekday,5545,5244,194
45,Bus,Fall 2014,Weekday,9886,6909,195
46,Bus,Fall 2014,Weekday,3418,3066,196
47,Bus,Fall 2014,Weekday,4052,4894,197
48,Bus,Fall 2014,Weekday,5670,4890,198
49,Bus,Fall 2014,Weekday,27133,25553,199
50,Bus,Fall 2014,Weekday,5480,5572,200
19,Bus,Fall 2016,Weekday,4304,4712,201
20,Bus,Fall 2016,Weekday,3649,3176,202
21,Bus,Fall 2016,Weekday,8600,8221,203
22,Bus,Fall 2016,Weekday,4535,4374,204
23,Bus,Fall 2016,Weekday,6165,7308,205
24,Bus,Fall 2016,Weekday,3151,2842,206
25,Bus,Fall 2016,Weekday,3751,4118,207
26,Bus,Fall 2016,Weekday,7545,7949,208
27,Bus,Fall 2016,Weekday,7692,8215,209
28,Bus,Fall 2016,Weekday,4411,4265,210
29,Bus,Fall 2016,Weekday,2656,2677,211
30,Bus,Fall 2016,Weekday,3368,3878,212
31,Bus,Fall 2016,Weekday,2065,1941,213
32,Bus,Fall 2016,Weekday,4715,4924,214
33,Bus,Fall 2016,Weekday,4213,4780,215
34,Bus,Fall 2016,Weekday,7477,7804,216
35,Bus,Fall 2016,Weekday,7044,7124,217
36,Bus,Fall 2016,Weekday,6706,7952,218
37,Bus,Fall 2016,Weekday,5444,4940,219
38,Bus,Fall 2016,Weekday,7128,7357,220
39,Bus,Fall 2016,Weekday,14387,14332,221
40,Bus,Fall 2016,Weekday,7555,7367,222
41,Bus,Fall 2016,Weekday,5089,5021,223
42,Bus,Fall 2016,Weekday,4974,5966,224
43,Bus,Fall 2016,Weekday,9308,9170,225
44,Bus,Fall 2016,Weekday,5270,5006,226
45,Bus,Fall 2016,Weekday,9082,6594,227
46,Bus,Fall 2016,Weekday,3002,2796,228
47,Bus,Fall 2016,Weekday,3471,4113,229
48,Bus,Fall 2016,Weekday,4296,4030,230
49,Bus,Fall 2016,Weekday,24340,22589,231
50,Bus,Fall 2016,Weekday,5050,5046,232
51,Bus,Fall 2016,Weekday,4012,3738,233
52,Bus,Fall 2016,Weekday,10108,10326,234
53,Bus,Fall 2016,Weekday,2766,2660,235
54,Bus,Fall 2016,Weekday,3031,2945,236
55,Bus,Fall 2016,Weekday,738,1198,237
56,Bus,Fall 2016,Weekday,7699,7158,238
57,Bus,Fall 2016,Weekday,2115,2689,239
58,Bus,Fall 2016,Weekday,5328,3953,240
59,Bus,Fall 2016,Weekday,9997,11182,241
60,Bus,Fall 2016,Weekday,11829,11170,242
61,Bus,Fall 2016,Weekday,9634,9730,243
62,Bus,Fall 2016,Weekday,20921,22717,244
63,Bus,Fall 2016,Weekday,2025,2066,245
64,Bus,Fall 2016,Weekday,3129,3174,246
65,Bus,Fall 2016,Weekday,1842,1648,247
66,Bus,Fall 2016,Weekday,5053,6198,248
1,Bus,Fall 2017,Weekday,5678,5305,249
2,Bus,Fall 2017,Weekday,4229,3546,250
53,Bus,Fall 2017,Weekday,2750,2712,251
54,Bus,Fall 2017,Weekday,2942,2649,252
55,Bus,Fall 2017,Weekday,796,1164,253
56,Bus,Fall 2017,Weekday,7659,5954,254
57,Bus,Fall 2017,Weekday,1837,2583,255
58,Bus,Fall 2017,Weekday,4589,3901,256
59,Bus,Fall 2017,Weekday,9852,10945,257
60,Bus,Fall 2017,Weekday,11321,10745,258
61,Bus,Fall 2017,Weekday,9556,9689,259
62,Bus,Fall 2017,Weekday,23112,23504,260
63,Bus,Fall 2017,Weekday,1977,2074,261
64,Bus,Fall 2017,Weekday,3501,3267,262
65,Bus,Fall 2017,Weekday,1984,1934,263
66,Bus,Fall 2017,Weekday,4864,6974,264
1,Bus,Fall 2017,Saturday,3249,3219,265
2,Bus,Fall 2017,Saturday,2213,2143,266
3,Bus,Fall 2017,Saturday,2107,2245,267
4,Bus,Fall 2017,Saturday,1629,1586,268
5,Bus,Fall 2017,Saturday,16115,15057,269
6,Bus,Fall 2017,Saturday,1439,1702,270
7,Bus,Fall 2017,Saturday,2323,2611,271
8,Bus,Fall 2017,Saturday,11507,11539,272
9,Bus,Fall 2017,Saturday,1547,1484,273
10,Bus,Fall 2017,Saturday,1813,1824,274
11,Bus,Fall 2017,Saturday,2838,2889,275
12,Bus,Fall 2017,Saturday,5137,4656,276
13,Bus,Fall 2017,Saturday,6715,6268,277
14,Bus,Fall 2017,Saturday,1558,1317,278
15,Bus,Fall 2017,Saturday,891,988,279
16,Bus,Fall 2017,Saturday,1592,1872,280
17,Bus,Fall 2017,Saturday,2635,3730,281
18,Bus,Fall 2017,Saturday,815,926,282
19,Bus,Fall 2017,Saturday,1754,1932,283
20,Bus,Fall 2017,Saturday,1931,1508,284
21,Bus,Fall 2017,Saturday,4446,4158,285
22,Bus,Fall 2017,Saturday,2136,2022,286
23,Bus,Fall 2017,Saturday,2958,3227,287
24,Bus,Fall 2017,Saturday,1341,1153,288
25,Bus,Fall 2017,Saturday,1616,2076,289
26,Bus,Fall 2017,Saturday,3467,3597,290
27,Bus,Fall 2017,Saturday,2842,3223,291
28,Bus,Fall 2017,Saturday,2453,2168,292
29,Bus,Fall 2017,Saturday,1344,1384,293
30,Bus,Fall 2017,Saturday,1287,1521,294
31,Bus,Fall 2017,Saturday,781,772,295
32,Bus,Fall 2017,Saturday,2481,2575,296
33,Bus,Fall 2017,Saturday,1938,2453,297
34,Bus,Fall 2017,Saturday,3568,3502,298
35,Bus,Fall 2017,Saturday,3538,3690,299
36,Bus,Fall 2017,Saturday,3332,3404,300
21,Bus,Fall 2017,Sunday,2863,2538,301
22,Bus,Fall 2017,Sunday,1450,1353,302
23,Bus,Fall 2017,Sunday,2580,2711,303
24,Bus,Fall 2017,Sunday,940,882,304
25,Bus,Fall 2017,Sunday,1094,1345,305
26,Bus,Fall 2017,Sunday,2559,2699,306
27,Bus,Fall 2017,Sunday,2188,2356,307
28,Bus,Fall 2017,Sunday,1695,1533,308
29,Bus,Fall 2017,Sunday,977,974,309
30,Bus,Fall 2017,Sunday,944,1061,310
31,Bus,Fall 2017,Sunday,599,537,311
32,Bus,Fall 2017,Sunday,1807,1859,312
33,Bus,Fall 2017,Sunday,1270,1564,313
34,Bus,Fall 2017,Sunday,2427,2409,314
35,Bus,Fall 2017,Sunday,2496,2567,315
36,Bus,Fall 2017,Sunday,2555,2640,316
37,Bus,Fall 2017,Sunday,1713,1798,317
38,Bus,Fall 2017,Sunday,2422,2300,318
39,Bus,Fall 2017,Sunday,5100,4776,319
40,Bus,Fall 2017,Sunday,3263,3297,320
41,Bus,Fall 2017,Sunday,1449,1415,321
42,Bus,Fall 2017,Sunday,1507,2080,322
43,Bus,Fall 2017,Sunday,2818,2623,323
44,Bus,Fall 2017,Sunday,1899,1972,324
45,Bus,Fall 2017,Sunday,2948,2046,325
46,Bus,Fall 2017,Sunday,1096,1128,326
47,Bus,Fall 2017,Sunday,1321,1771,327
48,Bus,Fall 2017,Sunday,1338,1445,328
49,Bus,Fall 2017,Sunday,8063,7107,329
50,Bus,Fall 2017,Sunday,1402,1546,330
51,Bus,Fall 2017,Sunday,1427,1233,331
52,Bus,Fall 2017,Sunday,3443,3647,332
53,Bus,Fall 2017,Sunday,726,600,333
54,Bus,Fall 2017,Sunday,939,963,334
55,Bus,Fall 2017,Sunday,224,378,335
56,Bus,Fall 2017,Sunday,2558,2065,336
57,Bus,Fall 2017,Sunday,514,899,337
58,Bus,Fall 2017,Sunday,1257,1022,338
59,Bus,Fall 2017,Sunday,3313,4056,339
60,Bus,Fall 2017,Sunday,3640,3651,340
61,Bus,Fall 2017,Sunday,3335,3356,341
62,Bus,Fall 2017,Sunday,8768,8150,342
63,Bus,Fall 2017,Sunday,543,535,343
64,Bus,Fall 2017,Sunday,1313,1126,344
65,Bus,Fall 2017,Sunday,433,457,345
66,Bus,Fall 2017,Sunday,1871,2732,346
1,Bus,Fall 2018,Weekday,4582,4951,347
2,Bus,Fall 2018,Weekday,4826,4543,348
3,Bus,Fall 2018,Weekday,3795,4060,349
4,Bus,Fall 2018,Weekday,4044,4329,350
3,Bus,Fall 2017,Weekday,4495,4432,351
4,Bus,Fall 2017,Weekday,4072,4016,352
5,Bus,Fall 2017,Weekday,33524,32212,353
6,Bus,Fall 2017,Weekday,3399,3924,354
7,Bus,Fall 2017,Weekday,5974,6122,355
8,Bus,Fall 2017,Weekday,28034,27470,356
9,Bus,Fall 2017,Weekday,2896,2900,357
10,Bus,Fall 2017,Weekday,3670,3910,358
11,Bus,Fall 2017,Weekday,5329,5640,359
12,Bus,Fall 2017,Weekday,10251,8822,360
13,Bus,Fall 2017,Weekday,13832,12937,361
14,Bus,Fall 2017,Weekday,3107,2816,362
15,Bus,Fall 2017,Weekday,2063,2259,363
16,Bus,Fall 2017,Weekday,3580,4287,364
17,Bus,Fall 2017,Weekday,6507,8180,365
18,Bus,Fall 2017,Weekday,1965,1978,366
19,Bus,Fall 2017,Weekday,3752,4088,367
20,Bus,Fall 2017,Weekday,3757,2979,368
21,Bus,Fall 2017,Weekday,8761,8253,369
22,Bus,Fall 2017,Weekday,4574,4195,370
23,Bus,Fall 2017,Weekday,6190,6646,371
24,Bus,Fall 2017,Weekday,4512,3939,372
25,Bus,Fall 2017,Weekday,3317,3906,373
26,Bus,Fall 2017,Weekday,7111,7707,374
27,Bus,Fall 2017,Weekday,8691,9664,375
28,Bus,Fall 2017,Weekday,4304,4167,376
29,Bus,Fall 2017,Weekday,2620,2606,377
30,Bus,Fall 2017,Weekday,3475,3782,378
31,Bus,Fall 2017,Weekday,1944,1668,379
32,Bus,Fall 2017,Weekday,4498,4969,380
33,Bus,Fall 2017,Weekday,3984,5033,381
34,Bus,Fall 2017,Weekday,7806,7868,382
35,Bus,Fall 2017,Weekday,7226,7510,383
36,Bus,Fall 2017,Weekday,6797,7562,384
37,Bus,Fall 2017,Weekday,5328,5150,385
38,Bus,Fall 2017,Weekday,7057,6822,386
39,Bus,Fall 2017,Weekday,14193,14234,387
40,Bus,Fall 2017,Weekday,7324,7317,388
41,Bus,Fall 2017,Weekday,5021,4800,389
42,Bus,Fall 2017,Weekday,4693,5487,390
43,Bus,Fall 2017,Weekday,8834,8596,391
44,Bus,Fall 2017,Weekday,4947,4689,392
45,Bus,Fall 2017,Weekday,8928,6838,393
46,Bus,Fall 2017,Weekday,3265,2861,394
47,Bus,Fall 2017,Weekday,3167,3872,395
48,Bus,Fall 2017,Weekday,4302,4329,396
49,Bus,Fall 2017,Weekday,23451,22012,397
50,Bus,Fall 2017,Weekday,4693,4714,398
51,Bus,Fall 2017,Weekday,3475,3479,399
52,Bus,Fall 2017,Weekday,9621,10109,400
7,Bus,Fall 2019,Weekday,5311,5606,401
8,Bus,Fall 2019,Weekday,25877,26662,402
9,Bus,Fall 2019,Weekday,2622,2350,403
10,Bus,Fall 2019,Weekday,3609,3861,404
11,Bus,Fall 2019,Weekday,5421,5689,405
12,Bus,Fall 2019,Weekday,10729,9214,406
13,Bus,Fall 2019,Weekday,13329,13283,407
14,Bus,Fall 2019,Weekday,3254,3257,408
15,Bus,Fall 2019,Weekday,2980,2880,409
16,Bus,Fall 2019,Weekday,3347,4227,410
17,Bus,Fall 2019,Weekday,6463,8169,411
18,Bus,Fall 2019,Weekday,1890,2149,412
19,Bus,Fall 2019,Weekday,3856,4088,413
39,Bus,Fall 2018,Saturday,7517,7039,414
20,Bus,Fall 2019,Weekday,3733,3355,415
21,Bus,Fall 2019,Weekday,9308,8917,416
22,Bus,Fall 2019,Weekday,4381,3887,417
23,Bus,Fall 2019,Weekday,5864,6296,418
24,Bus,Fall 2019,Weekday,4222,3780,419
25,Bus,Fall 2019,Weekday,3955,3588,420
26,Bus,Fall 2019,Weekday,6326,6680,421
40,Bus,Fall 2018,Saturday,4173,4102,422
5,Bus,Fall 2018,Weekday,33283,29432,423
27,Bus,Fall 2019,Weekday,10009,11488,424
41,Bus,Fall 2018,Saturday,2099,2056,425
28,Bus,Fall 2019,Weekday,4178,4037,426
6,Bus,Fall 2018,Weekday,3516,4060,427
42,Bus,Fall 2018,Saturday,1754,2387,428
29,Bus,Fall 2019,Weekday,2626,2884,429
7,Bus,Fall 2018,Weekday,5567,5833,430
43,Bus,Fall 2018,Saturday,3731,3534,431
30,Bus,Fall 2019,Weekday,3047,4537,432
8,Bus,Fall 2018,Weekday,26926,26464,433
44,Bus,Fall 2018,Saturday,2524,2700,434
31,Bus,Fall 2019,Weekday,1763,1929,435
9,Bus,Fall 2018,Weekday,2803,2846,436
45,Bus,Fall 2018,Saturday,4055,2795,437
32,Bus,Fall 2019,Weekday,4213,4380,438
10,Bus,Fall 2018,Weekday,3403,3635,439
46,Bus,Fall 2018,Saturday,1366,1421,440
33,Bus,Fall 2019,Weekday,3639,4766,441
11,Bus,Fall 2018,Weekday,4974,5442,442
47,Bus,Fall 2018,Saturday,1423,1864,443
34,Bus,Fall 2019,Weekday,7604,7099,444
12,Bus,Fall 2018,Weekday,9808,8603,445
48,Bus,Fall 2018,Saturday,2028,2008,446
35,Bus,Fall 2019,Weekday,7498,7259,447
13,Bus,Fall 2018,Weekday,14026,12699,448
49,Bus,Fall 2018,Saturday,10466,9139,449
36,Bus,Fall 2019,Weekday,6631,7722,450
14,Bus,Fall 2018,Weekday,3014,2742,451
50,Bus,Fall 2018,Saturday,2335,2304,452
37,Bus,Fall 2019,Weekday,5478,5368,453
15,Bus,Fall 2018,Weekday,2049,2334,454
51,Bus,Fall 2018,Saturday,1906,1715,455
38,Bus,Fall 2019,Weekday,6584,6417,456
16,Bus,Fall 2018,Weekday,3478,4034,457
52,Bus,Fall 2018,Saturday,4059,4042,458
39,Bus,Fall 2019,Weekday,15924,13303,459
17,Bus,Fall 2018,Weekday,6186,8048,460
53,Bus,Fall 2018,Saturday,909,888,461
40,Bus,Fall 2019,Weekday,7093,7227,462
18,Bus,Fall 2018,Weekday,1847,1729,463
54,Bus,Fall 2018,Saturday,1157,1159,464
41,Bus,Fall 2019,Weekday,4824,4640,465
19,Bus,Fall 2018,Weekday,3557,3832,466
55,Bus,Fall 2018,Saturday,304,513,467
42,Bus,Fall 2019,Weekday,4908,6163,468
20,Bus,Fall 2018,Weekday,3301,2862,469
56,Bus,Fall 2018,Saturday,3555,3038,470
43,Bus,Fall 2019,Weekday,8890,8662,471
21,Bus,Fall 2018,Weekday,8530,8661,472
57,Bus,Fall 2018,Saturday,855,1298,473
44,Bus,Fall 2019,Weekday,5138,5165,474
22,Bus,Fall 2018,Weekday,4478,4178,475
58,Bus,Fall 2018,Saturday,1837,1267,476
45,Bus,Fall 2019,Weekday,6912,5898,477
46,Bus,Fall 2019,Weekday,3360,3234,478
47,Bus,Fall 2019,Weekday,3413,4374,479
48,Bus,Fall 2019,Weekday,4338,4089,480
49,Bus,Fall 2019,Weekday,22041,20018,481
50,Bus,Fall 2019,Weekday,4435,4526,482
51,Bus,Fall 2019,Weekday,3561,3409,483
52,Bus,Fall 2019,Weekday,9536,8572,484
53,Bus,Fall 2019,Weekday,2183,2739,485
54,Bus,Fall 2019,Weekday,3054,3095,486
55,Bus,Fall 2019,Weekday,801,1296,487
56,Bus,Fall 2019,Weekday,7829,6954,488
23,Bus,Fall 2018,Weekday,6038,6396,489
59,Bus,Fall 2018,Saturday,4357,4972,490
24,Bus,Fall 2018,Weekday,4066,3678,491
25,Bus,Fall 2018,Weekday,3058,3707,492
60,Bus,Fall 2018,Saturday,5138,5372,493
26,Bus,Fall 2018,Weekday,7015,7264,494
61,Bus,Fall 2018,Saturday,4225,4187,495
27,Bus,Fall 2018,Weekday,8678,9924,496
62,Bus,Fall 2018,Saturday,10439,10228,497
28,Bus,Fall 2018,Weekday,4119,4016,498
63,Bus,Fall 2018,Saturday,724,742,499
29,Bus,Fall 2018,Weekday,2594,2617,500
64,Bus,Fall 2018,Saturday,1832,1620,501
30,Bus,Fall 2018,Weekday,3229,4236,502
65,Bus,Fall 2018,Saturday,615,613,503
31,Bus,Fall 2018,Weekday,1938,1630,504
66,Bus,Fall 2018,Saturday,2551,3546,505
32,Bus,Fall 2018,Weekday,4001,4585,506
1,Bus,Fall 2018,Sunday,2095,2219,507
33,Bus,Fall 2018,Weekday,3827,4801,508
2,Bus,Fall 2018,Sunday,1394,1372,509
34,Bus,Fall 2018,Weekday,7351,7049,510
3,Bus,Fall 2018,Sunday,1145,1237,511
35,Bus,Fall 2018,Weekday,6959,6953,512
4,Bus,Fall 2018,Sunday,1352,1435,513
36,Bus,Fall 2018,Weekday,6654,6919,514
5,Bus,Fall 2018,Sunday,10874,9741,515
37,Bus,Fall 2018,Weekday,5226,4857,516
6,Bus,Fall 2018,Sunday,978,1104,517
38,Bus,Fall 2018,Weekday,6888,6619,518
7,Bus,Fall 2018,Sunday,1485,1705,519
39,Bus,Fall 2018,Weekday,14643,14306,520
8,Bus,Fall 2018,Sunday,7581,7697,521
40,Bus,Fall 2018,Weekday,7080,6723,522
9,Bus,Fall 2018,Sunday,1106,1102,523
41,Bus,Fall 2018,Weekday,4967,4858,524
10,Bus,Fall 2018,Sunday,1125,1172,525
42,Bus,Fall 2018,Weekday,4687,5475,526
11,Bus,Fall 2018,Sunday,1782,1903,527
43,Bus,Fall 2018,Weekday,8328,8006,528
12,Bus,Fall 2018,Sunday,3343,3114,529
44,Bus,Fall 2018,Weekday,4905,5059,530
13,Bus,Fall 2018,Sunday,4832,4512,531
45,Bus,Fall 2018,Weekday,8736,6240,532
14,Bus,Fall 2018,Sunday,1053,981,533
46,Bus,Fall 2018,Weekday,3397,3076,534
15,Bus,Fall 2018,Sunday,618,675,535
47,Bus,Fall 2018,Weekday,3143,3760,536
16,Bus,Fall 2018,Sunday,1139,1457,537
48,Bus,Fall 2018,Weekday,4232,4451,538
17,Bus,Fall 2018,Sunday,1854,2518,539
