Philadelphia_City_Council_Distr,Mode,Season,Day_of_Week,On_,Off_,ObjectId
10,Bus,Fall 2019,Saturday,8878,8906,161
1,Bus,Fall 2019,Sunday,23238,20648,162
2,Bus,Fall 2019,Sunday,13080,13432,163
3,Bus,Fall 2019,Sunday,13481,14104,164
4,Bus,Fall 2019,Sunday,12087,11920,165
5,Bus,Fall 2019,Sunday,19847,20875,166
6,Bus,Fall 2019,Sunday,5642,6161,167
7,Bus,Fall 2019,Sunday,16593,16998,168
8,Bus,Fall 2019,Sunday,18629,19600,169
9,Bus,Fall 2019,Sunday,15620,14733,170
10,Bus,Fall 2019,Sunday,6214,6341,171
1,Bus,Fall 2021,Weekday,31814,29060,172
2,Bus,Fall 2021,Weekday,20016,20950,173
3,Bus,Fall 2021,Weekday,26993,28064,174
4,Bus,Fall 2021,Weekday,19856,19233,175
5,Bus,Fall 2021,Weekday,23483,23557,176
6,Bus,Fall 2021,Weekday,7681,7638,177
7,Bus,Fall 2021,Weekday,18969,18699,178
8,Bus,Fall 2021,Weekday,25155,25206,179
9,Bus,Fall 2021,Weekday,19682,19255,180
10,Bus,Fall 2021,Weekday,8920,9379,181
1,Bus,Fall 2021,Saturday,17623,16035,182
2,Bus,Fall 2021,Saturday,9981,10086,183
3,Bus,Fall 2021,Saturday,12431,13036,184
4,Bus,Fall 2021,Saturday,9181,8957,185
5,Bus,Fall 2021,Saturday,12253,12460,186
6,Bus,Fall 2021,Saturday,3014,3185,187
7,Bus,Fall 2021,Saturday,9322,8977,188
8,Bus,Fall 2021,Saturday,12583,12787,189
9,Bus,Fall 2021,Saturday,8864,8456,190
10,Bus,Fall 2021,Saturday,3728,3944,191
1,Bus,Fall 2021,Sunday,12458,11405,192
2,Bus,Fall 2021,Sunday,7276,7452,193
3,Bus,Fall 2021,Sunday,8851,9247,194
4,Bus,Fall 2021,Sunday,6267,6283,195
5,Bus,Fall 2021,Sunday,9174,9112,196
6,Bus,Fall 2021,Sunday,2164,2295,197
7,Bus,Fall 2021,Sunday,7348,6994,198
8,Bus,Fall 2021,Sunday,8668,8980,199
9,Bus,Fall 2021,Sunday,6579,6132,200
10,Bus,Fall 2021,Sunday,2680,2865,201
1,Bus,Fall 2022,Weekday,46192,40923,202
2,Bus,Fall 2022,Weekday,26618,27480,203
3,Bus,Fall 2022,Weekday,31773,33028,204
4,Bus,Fall 2022,Weekday,25106,24469,205
5,Bus,Fall 2022,Weekday,44523,45917,206
6,Bus,Fall 2022,Weekday,13251,13066,207
7,Bus,Fall 2022,Weekday,31230,32052,208
8,Bus,Fall 2022,Weekday,39178,39297,209
9,Bus,Fall 2022,Weekday,31254,30446,210
