X,Y,FID,Source,Year,Line,Station,Service_Ty,Direction,Boards,Leaves,Stop_ID,Latitude,Longitude
-8385514.8734147,4852587.17229217,68,Census,2017,Media/Wawa,Morton,Weekday,Inbound,610,3,90306,39.90803507,-75.32836176
-8385514.8734147,4852587.17229217,69,Census,2017,Media/Wawa,Morton,Weekday,Outbound,2,690,90306,39.90803507,-75.32836176
-8385514.8734147,4852587.17229217,70,Census,2017,Media/Wawa,Morton,Saturday,Inbound,133,1,90306,39.90803507,-75.32836176
-8385514.8734147,4852587.17229217,71,Census,2017,Media/Wawa,Morton,Saturday,Outbound,5,122,90306,39.90803507,-75.32836176
-8385514.8734147,4852587.17229217,72,Census,2017,Media/Wawa,Morton,Sunday,Inbound,70,3,90306,39.90803507,-75.32836176
-8385514.8734147,4852587.17229217,73,Census,2017,Media/Wawa,Morton,Sunday,Outbound,3,66,90306,39.90803507,-75.32836176
-8370228.76480367,4875429.6106937,74,Census,2017,Chestnut Hill East,Mount Airy,Weekday,Inbound,208,1,90717,40.0652558,-75.19104431
-8370228.76480367,4875429.6106937,75,Census,2017,Chestnut Hill East,Mount Airy,Weekday,Outbound,0,215,90717,40.0652558,-75.19104431
-8370228.76480367,4875429.6106937,76,Census,2017,Chestnut Hill East,Mount Airy,Saturday,Inbound,68,0,90717,40.0652558,-75.19104431
-8370228.76480367,4875429.6106937,77,Census,2017,Chestnut Hill East,Mount Airy,Saturday,Outbound,0,63,90717,40.0652558,-75.19104431
-8370228.76480367,4875429.6106937,78,Census,2017,Chestnut Hill East,Mount Airy,Sunday,Inbound,41,0,90717,40.0652558,-75.19104431
-8370228.76480367,4875429.6106937,79,Census,2017,Chestnut Hill East,Mount Airy,Sunday,Outbound,0,32,90717,40.0652558,-75.19104431
-8392163.40551204,4852268.48076566,80,Census,2017,Media/Wawa,Moylan-Rose Valley,Weekday,Inbound,221,1,90303,39.90583901,-75.38808654
-8392163.40551204,4852268.48076566,81,Census,2017,Media/Wawa,Moylan-Rose Valley,Weekday,Outbound,0,264,90303,39.90583901,-75.38808654
-8392163.40551204,4852268.48076566,82,Census,2017,Media/Wawa,Moylan-Rose Valley,Saturday,Inbound,45,0,90303,39.90583901,-75.38808654
-8392163.40551204,4852268.48076566,83,Census,2017,Media/Wawa,Moylan-Rose Valley,Saturday,Outbound,0,35,90303,39.90583901,-75.38808654
-8392163.40551204,4852268.48076566,84,Census,2017,Media/Wawa,Moylan-Rose Valley,Sunday,Inbound,20,0,90303,39.90583901,-75.38808654
-8392163.40551204,4852268.48076566,85,Census,2017,Media/Wawa,Moylan-Rose Valley,Sunday,Outbound,0,30,90303,39.90583901,-75.38808654
-8378070.07188652,4866651.18429039,86,Census,2017,Paoli/Thorndale,Narberth,Weekday,Inbound,646,71,90520,40.00487815,-75.26148397
-8378070.07188652,4866651.18429039,87,Census,2017,Paoli/Thorndale,Narberth,Weekday,Outbound,68,642,90520,40.00487815,-75.26148397
-8378070.07188652,4866651.18429039,88,Census,2017,Paoli/Thorndale,Narberth,Saturday,Inbound,224,57,90520,40.00487815,-75.26148397
-8378070.07188652,4866651.18429039,89,Census,2017,Paoli/Thorndale,Narberth,Saturday,Outbound,47,188,90520,40.00487815,-75.26148397
-8378070.07188652,4866651.18429039,90,Census,2017,Paoli/Thorndale,Narberth,Sunday,Inbound,85,14,90520,40.00487815,-75.26148397
-8378070.07188652,4866651.18429039,91,Census,2017,Paoli/Thorndale,Narberth,Sunday,Outbound,14,98,90520,40.00487815,-75.26148397
-8344750.51523517,4887301.8814832,92,Census,2017,West Trenton,Neshaminy Falls,Weekday,Inbound,312,1,90323,40.14682773,-74.9621693
-8344750.51523517,4887301.8814832,93,Census,2017,West Trenton,Neshaminy Falls,Weekday,Outbound,7,291,90323,40.14682773,-74.9621693
-8344750.51523517,4887301.8814832,94,Census,2017,West Trenton,Neshaminy Falls,Saturday,Inbound,60,4,90323,40.14682773,-74.9621693
-8344750.51523517,4887301.8814832,95,Census,2017,West Trenton,Neshaminy Falls,Saturday,Outbound,3,57,90323,40.14682773,-74.9621693
-8344750.51523517,4887301.8814832,96,Census,2017,West Trenton,Neshaminy Falls,Sunday,Inbound,46,1,90323,40.14682773,-74.9621693
-8344750.51523517,4887301.8814832,97,Census,2017,West Trenton,Neshaminy Falls,Sunday,Outbound,2,55,90323,40.14682773,-74.9621693
-8368959.34189597,4909267.4465563,98,Census,2017,Lansdale/Doylestown,New Britain,Weekday,Inbound,50,1,90536,40.29749061,-75.17964089
-8368959.34189597,4909267.4465563,99,Census,2017,Lansdale/Doylestown,New Britain,Weekday,Outbound,0,43,90536,40.29749061,-75.17964089
