objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
124,42101012000,76,1987,2025,665992.18,234154.26,22050.32,88219.32,1010416.08,13294.95
125,42101012100,67,1980,2025,252280.57,43097.34,4910.9,21460.38,321749.19,4802.23
126,42101012204,130,2001,2025,339301.19,96624.27,9330.81,37291.85,482548.12,3711.91
127,42101012501,11,2006,2025,892180.62,85979.09,23398.26,9383.66,1010941.63,91903.78
128,42101012502,35,2018,2025,294311.48,38295.71,8208.09,10902.8,351718.08,10049.09
129,42101013100,43,1980,2025,661031.16,83183.97,18012.37,31935.91,794163.41,18468.92
130,42101013200,160,1978,2025,611066.46,135457.55,13703.49,62858.71,823086.21,5144.29
131,42101013300,111,1978,2025,1048582.94,170965.91,23578.65,60568.22,1303695.72,11745.01
132,42101013401,56,2010,2025,378767.83,41378.72,9265.33,18875.32,448287.2,8005.13
133,42101013402,63,2002,2025,391589.51,55819.74,8397.48,14719.45,470526.18,7468.67
134,42101013500,143,1985,2025,1018772.72,141397.86,21561.92,72084.36,1253816.86,8767.95
135,42101013601,65,2014,2025,343073.09,39211.6,5709.16,12011.87,400005.72,6153.93
136,42101013602,74,1992,2025,500254.64,51376.5,9509.74,26389.76,587530.64,7939.6
137,42101013701,106,1989,2025,366348.74,50274.84,7545.12,44096.56,468265.36,4417.6
138,42101013702,363,1978,2025,1128791.52,176346.37,25515.68,151340.16,1481993.73,4082.63
139,42101013800,231,1978,2025,854108.58,188811.39,22534.72,122004.04,1187458.73,5140.51
140,42101013900,121,1978,2025,858005.5,148350.8,24446.39,66042.36,1096845.05,9064.84
141,42101014000,253,1978,2025,2235939.12,367625.89,53585.43,178520.27,2835670.71,11208.18
142,42101014100,127,1978,2025,1170696.23,169121.39,28923.26,50251.45,1418992.33,11173.17
143,42101014201,151,1980,2025,758153.96,87463.41,9061.23,34346.95,889025.55,5887.59
144,42101014202,121,1997,2025,1458754.12,200744.67,66202.99,121306.07,1847007.85,15264.53
145,42101014300,101,1978,2025,695854.4,95810.64,15606.15,55403.1,862674.29,8541.33
146,42101014400,309,1978,2025,2053213.91,293417.67,56060.35,173001.18,2575693.11,8335.58
147,42101014500,109,1978,2025,366364.31,77658.78,11055,55162.65,513538.77,4711.36
148,42101014600,124,1993,2025,1273251.24,165501.34,27192.67,91505.59,1557450.84,12560.09
149,42101014700,157,1978,2025,2108369.96,392994,62837.78,124910.16,2689111.9,17128.1
150,42101014800,117,1978,2025,581202.18,173206.63,19782.12,84443.81,858634.74,7338.76
151,42101014900,586,1978,2025,1740451.94,458465.96,56265.36,357434.73,2612617.99,4458.39
152,42101015101,249,1978,2025,641419.76,148963.71,22046.5,166163.12,978593.09,3930.09
153,42101015102,610,1978,2025,1539407.8,532789.6,58502.8,460931.12,2591631.8,4248.58
154,42101015200,607,1978,2025,2040831.24,599957.71,72122.14,541584.8,3254495.89,5361.61
155,42101015300,213,1979,2025,1153675.49,178283.94,36598.73,126934.38,1495492.54,7021.09
156,42101015600,336,1978,2025,1636320.45,357980.14,48687.9,270366.32,2313354.81,6884.98
157,42101015700,331,1979,2025,1600263.87,198968.59,44871.72,109996.17,1954100.35,5903.63
158,42101015800,280,1985,2025,1423402.49,175330,27807.57,103232.3,1730228.57,6179.39
159,42101016001,158,2000,2025,949453.09,108246.99,21072.63,49053.72,1127826.43,7138.14
160,42101016002,230,1998,2025,1085971.16,173903.17,26029.23,94145.83,1380049.39,6000.21
161,42101016100,487,1978,2025,2044762.5,360621.38,47984.35,229650.96,2683019.19,5509.28
162,42101016200,405,1978,2025,1111585.67,342203.12,39454.26,368805.3,1862048.35,4597.65
163,42101016300,584,1978,2025,1495537.51,289860.36,44109.89,324015.33,2153523.09,3687.54
164,42101016400,597,1978,2025,1256328.81,419791.84,47388.61,406410.54,2129919.8,3567.7
165,42101016500,522,1978,2025,1507816.27,548058.53,61350.24,474705.3,2591930.34,4965.38
166,42101016600,201,1978,2025,622055.27,165742.02,21220.78,136911.13,945929.2,4706.12
167,42101016701,578,1978,2025,1507395.69,852676.52,68716.07,623934.21,3052722.49,5281.53
168,42101016702,607,1978,2025,1798482.64,771037.91,72029.52,593772.06,3235322.13,5330.02
169,42101016800,861,1978,2025,2312941.46,1196576.38,101720.33,863590.62,4474828.79,5197.25
170,42101016901,922,1978,2025,2600971.74,1466075.4,121584.44,1057694.39,5246325.97,5690.16
171,42101016902,1117,1978,2025,2882290.26,1593881.79,133640.04,1105588.92,5715401.01,5116.74
172,42101017000,193,1984,2025,1310620.59,256484.7,30262.01,124228.25,1721595.55,8920.18
173,42101017100,524,1978,2025,1998859.45,779673.78,80498.36,484357.94,3343392.29,6380.52
174,42101017201,527,1978,2025,1437857.74,875004.36,65871.23,506966.49,2885699.82,5475.71
175,42101017202,696,1978,2025,1756159.92,987870.91,78864.06,626792.15,3449687.04,4956.45
176,42101017300,540,1981,2025,2006479.5,774347.86,74794.44,433431.62,3289063.42,6090.86
177,42101017400,537,1978,2025,1691693.33,789280.9,75897.57,633179.03,3190050.83,5940.5
178,42101017500,1073,1978,2025,2077833.2,913413.17,89894.07,829364.91,3910505.35,3644.46
179,42101017601,943,1978,2025,1605280.66,545059.26,67595.29,611204.92,2829140.13,3000.15
180,42101017602,465,1980,2025,1146775.25,338299.76,45008.95,277462.04,1807546,3887.2
181,42101017701,412,1980,2025,876100.5,327849.82,34657.98,271242.12,1509850.42,3664.69
182,42101017702,708,1978,2025,1575557.65,605963.87,65080.77,504402.7,2751004.99,3885.6
183,42101017800,752,1978,2025,1999792.3,557086.02,70569.03,483772.8,3111220.15,4137.26
184,42101017900,491,1978,2025,1671538.57,321473.73,48331.42,294775.32,2336119.04,4757.88
185,42101018001,142,1985,2025,583710.33,134517.12,15245.62,72621.44,814064.71,5732.85
186,42101018002,229,1987,2025,990842.08,138898.5,22474.01,101472.08,1253686.67,5474.61
187,42101018300,163,1998,2025,1054918.29,113220.09,18679.87,98635.36,1285453.61,7886.22
188,42101018400,102,1997,2025,456837.84,61923.38,10419.39,39711.63,568892.24,5577.37
189,42101018801,324,1989,2025,846633.89,174270.75,30165.62,168648.31,1220312.39,3766.4
190,42101018802,211,1993,2025,622170.09,112395.33,23131.68,113622.91,871320.01,4129.48
191,42101019000,219,1978,2025,792177.87,157092.07,20649.4,113076.36,1082995.7,4945.19
192,42101019100,266,1985,2025,838764.11,161667.21,24184.69,135588.2,1160204.21,4361.67
193,42101019200,669,1978,2025,1911007.72,721605.48,74036.07,476325.93,3182975.2,4757.81
194,42101019501,452,1978,2025,862176.5,321736.67,38349.11,304355.72,1526618,3377.47
195,42101019502,419,1978,2025,960773.22,306084.83,37313.24,253101.49,1557272.78,3716.64
196,42101019700,520,1987,2025,1050643.34,304481.53,42971.21,250700.08,1648796.16,3170.76
197,42101019800,576,1978,2025,1633494.69,658447.01,65340.18,408169.61,2765451.49,4801.13
198,42101019900,581,1977,2025,1565508.49,642481.13,66793.22,487009.87,2761792.71,4753.52
199,42101020000,185,1978,2025,658226.15,235188.96,28680.08,149605.6,1071700.79,5792.98
200,42101020101,495,1978,2025,1563122.97,473382.1,61616.91,379146.95,2477268.93,5004.58
201,42101020102,425,1982,2025,1545070.87,476121.07,60816.01,335065.68,2417073.63,5687.23
202,42101020200,780,1978,2025,3239859.95,1291435.9,141642.74,769484.41,5442423,6977.47
203,42101020300,550,1978,2025,2082541.08,665721.7,85300.72,467347.22,3300910.72,6001.66
204,42101020400,446,1980,2025,1433073.31,776255.61,60902.1,445899.85,2716130.87,6089.98
205,42101020500,403,1984,2025,1313347.21,533651.29,59153.3,384879.19,2291030.99,5684.94
206,42101020600,14,1984,2025,90552.08,38098.63,2250.23,16210.76,147111.7,10507.98
207,42101020701,125,1978,2025,538699.88,88129.82,15252.95,57958.63,700041.28,5600.33
208,42101020702,24,2012,2025,177656.7,5500.84,467.41,4362.45,187987.4,7832.81
209,42101020800,35,2001,2025,162560.17,19010.31,2726.31,10624.29,194921.08,5569.17
210,42101020900,75,2000,2025,446821.14,81354.79,12450.26,38444.07,579070.26,7720.94
211,42101021000,149,1978,2025,835332.9,187860.94,22932.18,116469.43,1162595.45,7802.65
212,42101021100,55,2001,2025,284246.01,32216.03,4860.87,28677.4,350000.31,6363.64
213,42101021200,57,1993,2025,254213.9,38204.09,4664.18,25850.32,322932.49,5665.48
214,42101021300,81,1997,2025,519062.87,60906.24,9567.93,38072.38,627609.42,7748.26
215,42101021400,167,1979,2025,765524.71,162241.53,20806.61,93397.64,1041970.49,6239.34
216,42101021500,169,1978,2025,718670.82,150993.4,18766.7,106330.43,994761.35,5886.16
217,42101021600,47,1978,2025,743377.37,265533.89,17903.14,57206.04,1084020.44,23064.26
218,42101021700,90,1985,2025,647691.71,97006.93,10169.87,47901.03,802769.54,8919.66
219,42101021800,57,1979,2025,312629.52,87636.8,10136.78,36094.17,446497.27,7833.29
220,42101021900,47,1997,2025,225436.47,27303.01,2370.34,21996.23,277106.05,5895.87
221,42101022000,29,2004,2025,727168.93,94493.56,3871.75,15264.68,840798.92,28993.07
222,42101023100,46,2017,2025,429203.58,63929.12,6755.33,9318.22,509206.25,11069.7
223,42101023500,38,1984,2025,319231.71,23058.92,2077.3,18025.71,362393.64,9536.67
224,42101023600,54,2004,2025,582655.92,82686.7,11346.17,23642.62,700331.41,12969.1
225,42101023700,150,1991,2025,1211025.27,135161.35,16121.99,72145.82,1434454.43,9563.03
226,42101023800,174,1978,2025,1054668.94,194353.88,23497.02,107372,1379891.84,7930.41
227,42101023900,10,2016,2025,94128.21,8060.99,1798.24,5999.37,109986.81,10998.68
228,42101024000,158,1988,2025,813569.41,195375.98,22768.58,96080.13,1127794.1,7137.94
229,42101024100,44,1997,2025,259289.05,64344.44,9098.12,39829.14,372560.75,8467.29
