structure_id,id_type,standpipe_status,standpipe_casefile,fire_alarm_status,fire_alarm_casefile,smoke_control_status,smoke_control_casefile,pier_status,pier_casefile,fire_escape_status,fire_escape_casefile,private_bridge_status,private_bridge_casefile,emer_stdby_pwr_sys_status,emer_stdby_pwr_sys_casefile,special_hazards_status,special_hazards_casefile,facade_status,facade_casefile,sprinkler_status,sprinkler_casefile,damper_status,damper_casefile,objectid
1359092,BIN,,,Expired,,,,,,,,,,,,Active,,Expired,,,,,,5079
1389313,BIN,,,,,,,,,,,,,,,Active,,Active,,Active,,,,5080
1514138,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5081
2000232,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5082
1005353,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,5083
1329802,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,5084
1270073,BIN,,,,,,,,,,,,,,,Expired,,,,Deficient,CF-2025-084701,,,5085
1475672,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,5086
1529309,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5087
1258435,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5088
1507986,BIN,,,Active,,,,,,,,,,,,Active,,Active,,Expired,,,,5089
1526548,BIN,,,Active,,,,,,Active,,,,Expired,,Active,,,,Expired,,,,5090
1390790,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,5091
1214571,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,5092
1177264,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,5093
1080628,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5094
1467739,BIN,,,Active,,,,,,,,,,Deficient,,,,,,Deficient,CF-2025-119429,,,5095
1000728,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5096
1486706,BIN,,,Active,,,,,,,,,,,,,,Active,,Expired,,,,5097
1544363,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5098
1190060,BIN,,,Active,,,,,,,,,,,,,,,,Expired,CF-2025-055488,,,5099
1488577,BIN,,,Expired,,,,,,,,Expired,,Expired,,Active,,Active,,Deficient,,,,5100
1496959,BIN,,,Active,,,,,,,,,,Active,,,,Active,,Expired,,Active,,5101
1530069,BIN,,,Expired,,,,,,Active,,,,Expired,,,,,,,,,,5102
1375914,BIN,,,Deficient,CF-2025-102540,,,,,,,,,,,Deficient,CF-2025-102540,Active,,Deficient,CF-2025-102540,,,5103
1002626,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5104
1471011,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5105
1045879,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5106
1371943,BIN,,,Active,,,,,,Active,,,,,,Expired,,Active,,Active,,,,5107
1056606,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Active,,,,5108
1207535,BIN,,,Active,,,,,,,,,,,,Active,,Active,,Expired,,,,5109
1505836,BIN,,,Active,,,,,,,,,,,,Expired,CF-2025-051760,,,Active,,,,5110
1459931,BIN,,,,,,,,,Active,,,,Active,,,,,,,,,,5111
1323123,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5112
1278385,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,5113
1022179,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5114
1374548,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5115
1316048,BIN,,,,,,,,,,,,,Active,,Active,,,,,,,,5116
1504561,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5117
1302289,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5118
1160813,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5119
1403994,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,5120
1076480,BIN,,,Active,,Active,,,,,,,,Active,,Expired,,Active,,Active,,,,5121
1506379,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5122
1003266,BIN,,,Active,,,,,,,,,,,,Active,,Active,,Expired,,,,5123
1503228,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5124
1220931,BIN,,,Active,,,,,,,,,,Deficient,,,,,,Active,,,,5125
1547063,BIN,,,Active,,,,,,,,,,Expired,,,,,,Expired,,,,5126
1147349,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5127
1499797,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5128
1168637,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5129
1523268,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5130
1049280,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5131
1056185,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5132
1133109,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5133
1368373,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5134
1526718,BIN,,,Expired,,,,,,,,,,Active,,Active,,Active,,Expired,,,,5135
1445104,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5136
1424089,BIN,,,Deficient,CF-2025-096963,,,,,,,,,,,,,,,,,,,5137
1453254,BIN,,,Active,,,,,,,,,,,,,,Active,,Active,,Expired,,5138
1109534,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,5139
1522612,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5140
3000249,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5141
1549222,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5142
1545609,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5143
1389126,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,5144
1101012,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5145
1485571,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5146
1544409,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5147
1284130,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5148
1481201,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5149
1549184,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5150
3000074,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5151
1263207,BIN,,,Active,,,,,,,,,,Expired,CF-2025-080393,Active,,,,Expired,CF-2025-080393,,,5152
1040423,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5153
1407653,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,5154
1022556,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5155
1543633,BIN,,,Active,,,,,,,,,,Active,,,,Active,,Active,,,,5156
1372784,BIN,,,Deficient,CF-2025-111924,,,,,,,,,Expired,CF-2025-111924,Active,,Expired,,Deficient,CF-2025-111924,,,5157
1550342,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5158
1102161,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,5159
1412835,BIN,,,Active,,,,,,,,,,,,,,Active,,Active,,,,5160
1451717,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,5161
1428625,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5162
1535520,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5163
1549122,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5164
1004773,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5165
1003728,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5166
1187167,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5167
1474513,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,5168
1509048,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5169
1292979,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5170
1313568,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,5171
1180408,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5172
1013053,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5173
1122330,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,5174
1118151,BIN,,,Active,,,,,,,,,,Expired,,Active,,,,Deficient,CF-2025-091126,,,5175
1209983,BIN,,,Deficient,CF-2025-075370,,,,,,,,,Active,,,,,,,,,,5176
1031464,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5177
1282920,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5178
1376430,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5179
1121155,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,5180
1511846,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,5181
1503151,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5182
1056918,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5183
1067592,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,5184
1266363,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5185
1084431,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5186
1269842,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5187
1216590,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5188
1053353,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5189
1453975,BIN,,,Expired,,,,,,,,,,Active,,Active,,,,,,,,5190
1160364,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5191
1089909,BIN,,,Active,,,,,,Active,,,,,,,,Active,,Active,,,,5192
1005069,BIN,,,,,,,,,,,,,,,,,,,Deficient,,,,5193
